verbs,traitq,traitq_id,verb_id,negative_flag,pca_cat_id_v
貸す,積極的な-消極的な,traitq01,9,0,approachableness
貸す,責任感のある-責任感のない,traitq08,9,0,approachableness
貸す,軽率な-慎重な,traitq09,9,0,approachableness
相談する,感じの悪い-感じの良い,traitq14,10,0,approachableness
相談する,心の広い-心の狭い,traitq06,10,0,approachableness
相談する,非社交的な-社交的な,traitq07,10,0,approachableness
相談する,積極的な-消極的な,traitq01,10,0,approachableness
相談する,責任感のある-責任感のない,traitq08,10,0,approachableness
相談する,軽率な-慎重な,traitq09,10,0,approachableness
入る,感じの悪い-感じの良い,traitq14,11,0,extraversion
入る,心の広い-心の狭い,traitq06,11,0,extraversion
入る,非社交的な-社交的な,traitq07,11,0,extraversion
入る,積極的な-消極的な,traitq01,11,0,extraversion
入る,責任感のある-責任感のない,traitq08,11,0,extraversion
入る,軽率な-慎重な,traitq09,11,0,extraversion
進む,感じの悪い-感じの良い,traitq14,12,0,extraversion
進む,心の広い-心の狭い,traitq06,12,0,extraversion
進む,非社交的な-社交的な,traitq07,12,0,extraversion
進む,積極的な-消極的な,traitq01,12,0,extraversion
進む,責任感のある-責任感のない,traitq08,12,0,extraversion
進む,軽率な-慎重な,traitq09,12,0,extraversion
飲む,感じの悪い-感じの良い,traitq14,13,0,extraversion
飲む,心の広い-心の狭い,traitq06,13,0,extraversion
飲む,非社交的な-社交的な,traitq07,13,0,extraversion
飲む,積極的な-消極的な,traitq01,13,0,extraversion
飲む,責任感のある-責任感のない,traitq08,13,0,extraversion
飲む,軽率な-慎重な,traitq09,13,0,extraversion
発言する,感じの悪い-感じの良い,traitq14,14,0,extraversion
発言する,心の広い-心の狭い,traitq06,14,0,extraversion
発言する,非社交的な-社交的な,traitq07,14,0,extraversion
発言する,積極的な-消極的な,traitq01,14,0,extraversion
発言する,責任感のある-責任感のない,traitq08,14,0,extraversion
発言する,軽率な-慎重な,traitq09,14,0,extraversion
出る,感じの悪い-感じの良い,traitq14,15,0,extraversion
出る,心の広い-心の狭い,traitq06,15,0,extraversion
出る,非社交的な-社交的な,traitq07,15,0,extraversion
出る,積極的な-消極的な,traitq01,15,0,extraversion
出る,責任感のある-責任感のない,traitq08,15,0,extraversion
出る,軽率な-慎重な,traitq09,15,0,extraversion
活動する,感じの悪い-感じの良い,traitq14,16,0,extraversion
活動する,心の広い-心の狭い,traitq06,16,0,extraversion
活動する,非社交的な-社交的な,traitq07,16,0,extraversion
活動する,積極的な-消極的な,traitq01,16,0,extraversion
活動する,責任感のある-責任感のない,traitq08,16,0,extraversion
活動する,軽率な-慎重な,traitq09,16,0,extraversion
旅行する,感じの悪い-感じの良い,traitq14,17,0,extraversion
旅行する,心の広い-心の狭い,traitq06,17,0,extraversion
旅行する,非社交的な-社交的な,traitq07,17,0,extraversion
旅行する,積極的な-消極的な,traitq01,17,0,extraversion
旅行する,責任感のある-責任感のない,traitq08,17,0,extraversion
旅行する,軽率な-慎重な,traitq09,17,0,extraversion
交流する,感じの悪い-感じの良い,traitq14,18,0,extraversion
交流する,心の広い-心の狭い,traitq06,18,0,extraversion
交流する,非社交的な-社交的な,traitq07,18,0,extraversion
交流する,積極的な-消極的な,traitq01,18,0,extraversion
交流する,責任感のある-責任感のない,traitq08,18,0,extraversion
交流する,軽率な-慎重な,traitq09,18,0,extraversion
持つ,感じの悪い-感じの良い,traitq14,19,0,extraversion
持つ,心の広い-心の狭い,traitq06,19,0,extraversion
持つ,非社交的な-社交的な,traitq07,19,0,extraversion
持つ,積極的な-消極的な,traitq01,19,0,extraversion
持つ,責任感のある-責任感のない,traitq08,19,0,extraversion
持つ,軽率な-慎重な,traitq09,19,0,extraversion
評価する,感じの悪い-感じの良い,traitq14,20,0,extraversion
評価する,心の広い-心の狭い,traitq06,20,0,extraversion
評価する,非社交的な-社交的な,traitq07,20,0,extraversion
評価する,積極的な-消極的な,traitq01,20,0,extraversion
評価する,責任感のある-責任感のない,traitq08,20,0,extraversion
評価する,軽率な-慎重な,traitq09,20,0,extraversion
仕事する,感じの悪い-感じの良い,traitq14,21,0,responsibility
仕事する,心の広い-心の狭い,traitq06,21,0,responsibility
仕事する,非社交的な-社交的な,traitq07,21,0,responsibility
仕事する,積極的な-消極的な,traitq01,21,0,responsibility
仕事する,責任感のある-責任感のない,traitq08,21,0,responsibility
仕事する,軽率な-慎重な,traitq09,21,0,responsibility
買う,感じの悪い-感じの良い,traitq14,22,0,responsibility
買う,心の広い-心の狭い,traitq06,22,0,responsibility
買う,非社交的な-社交的な,traitq07,22,0,responsibility
買う,積極的な-消極的な,traitq01,22,0,responsibility
買う,責任感のある-責任感のない,traitq08,22,0,responsibility
買う,軽率な-慎重な,traitq09,22,0,responsibility
考える,感じの悪い-感じの良い,traitq14,23,0,responsibility
考える,心の広い-心の狭い,traitq06,23,0,responsibility
考える,非社交的な-社交的な,traitq07,23,0,responsibility
考える,積極的な-消極的な,traitq01,23,0,responsibility
考える,責任感のある-責任感のない,traitq08,23,0,responsibility
考える,軽率な-慎重な,traitq09,23,0,responsibility
決める,感じの悪い-感じの良い,traitq14,24,0,responsibility
決める,心の広い-心の狭い,traitq06,24,0,responsibility
決める,非社交的な-社交的な,traitq07,24,0,responsibility
決める,積極的な-消極的な,traitq01,24,0,responsibility
決める,責任感のある-責任感のない,traitq08,24,0,responsibility
決める,軽率な-慎重な,traitq09,24,0,responsibility
計画する,感じの悪い-感じの良い,traitq14,25,0,responsibility
計画する,心の広い-心の狭い,traitq06,25,0,responsibility
計画する,非社交的な-社交的な,traitq07,25,0,responsibility
計画する,積極的な-消極的な,traitq01,25,0,responsibility
計画する,責任感のある-責任感のない,traitq08,25,0,responsibility
計画する,軽率な-慎重な,traitq09,25,0,responsibility
務める,感じの悪い-感じの良い,traitq14,26,0,responsibility
務める,心の広い-心の狭い,traitq06,26,0,responsibility
務める,非社交的な-社交的な,traitq07,26,0,responsibility
務める,積極的な-消極的な,traitq01,26,0,responsibility
務める,責任感のある-責任感のない,traitq08,26,0,responsibility
務める,軽率な-慎重な,traitq09,26,0,responsibility
近づく,感じの悪い-感じの良い,traitq14,27,0,responsibility
近づく,心の広い-心の狭い,traitq06,27,0,responsibility
近づく,非社交的な-社交的な,traitq07,27,0,responsibility
近づく,積極的な-消極的な,traitq01,27,0,responsibility
近づく,責任感のある-責任感のない,traitq08,27,0,responsibility
近づく,軽率な-慎重な,traitq09,27,0,responsibility
近寄る,感じの悪い-感じの良い,traitq14,28,0,responsibility
近寄る,心の広い-心の狭い,traitq06,28,0,responsibility
近寄る,非社交的な-社交的な,traitq07,28,0,responsibility
近寄る,積極的な-消極的な,traitq01,28,0,responsibility
近寄る,責任感のある-責任感のない,traitq08,28,0,responsibility
近寄る,軽率な-慎重な,traitq09,28,0,responsibility
休む,感じの悪い-感じの良い,traitq14,29,0,responsibility
休む,心の広い-心の狭い,traitq06,29,0,responsibility
休む,非社交的な-社交的な,traitq07,29,0,responsibility
休む,積極的な-消極的な,traitq01,29,0,responsibility
休む,責任感のある-責任感のない,traitq08,29,0,responsibility
休む,軽率な-慎重な,traitq09,29,0,responsibility
行う,感じの悪い-感じの良い,traitq14,30,1,responsibility
行う,心の広い-心の狭い,traitq06,30,1,responsibility
行う,非社交的な-社交的な,traitq07,30,1,responsibility
行う,積極的な-消極的な,traitq01,30,1,responsibility
行う,責任感のある-責任感のない,traitq08,30,1,responsibility
行う,軽率な-慎重な,traitq09,30,1,responsibility
連絡しない,感じの悪い-感じの良い,traitq14,31,1,approachableness
連絡しない,心の広い-心の狭い,traitq06,31,1,approachableness
連絡しない,非社交的な-社交的な,traitq07,31,1,approachableness
連絡しない,積極的な-消極的な,traitq01,31,1,approachableness
連絡しない,責任感のある-責任感のない,traitq08,31,1,approachableness
連絡しない,軽率な-慎重な,traitq09,31,1,approachableness
気に入らない,感じの悪い-感じの良い,traitq14,32,1,approachableness
気に入らない,心の広い-心の狭い,traitq06,32,1,approachableness
気に入らない,非社交的な-社交的な,traitq07,32,1,approachableness
気に入らない,積極的な-消極的な,traitq01,32,1,approachableness
気に入らない,責任感のある-責任感のない,traitq08,32,1,approachableness
気に入らない,軽率な-慎重な,traitq09,32,1,approachableness
接さない,感じの悪い-感じの良い,traitq14,33,1,approachableness
接さない,心の広い-心の狭い,traitq06,33,1,approachableness
接さない,非社交的な-社交的な,traitq07,33,1,approachableness
接さない,積極的な-消極的な,traitq01,33,1,approachableness
接さない,責任感のある-責任感のない,traitq08,33,1,approachableness
接さない,軽率な-慎重な,traitq09,33,1,approachableness
対応しない,感じの悪い-感じの良い,traitq14,34,1,approachableness
対応しない,心の広い-心の狭い,traitq06,34,1,approachableness
対応しない,非社交的な-社交的な,traitq07,34,1,approachableness
対応しない,積極的な-消極的な,traitq01,34,1,approachableness
対応しない,責任感のある-責任感のない,traitq08,34,1,approachableness
対応しない,軽率な-慎重な,traitq09,34,1,approachableness
断らない,感じの悪い-感じの良い,traitq14,35,1,approachableness
断らない,心の広い-心の狭い,traitq06,35,1,approachableness
断らない,非社交的な-社交的な,traitq07,35,1,approachableness
断らない,積極的な-消極的な,traitq01,35,1,approachableness
断らない,責任感のある-責任感のない,traitq08,35,1,approachableness
断らない,軽率な-慎重な,traitq09,35,1,approachableness
聞かない,感じの悪い-感じの良い,traitq14,36,1,approachableness
聞かない,心の広い-心の狭い,traitq06,36,1,approachableness
聞かない,非社交的な-社交的な,traitq07,36,1,approachableness
聞かない,積極的な-消極的な,traitq01,36,1,approachableness
聞かない,責任感のある-責任感のない,traitq08,36,1,approachableness
聞かない,軽率な-慎重な,traitq09,36,1,approachableness
頼まない,感じの悪い-感じの良い,traitq14,37,1,approachableness
頼まない,心の広い-心の狭い,traitq06,37,1,approachableness
頼まない,非社交的な-社交的な,traitq07,37,1,approachableness
頼まない,積極的な-消極的な,traitq01,37,1,approachableness
頼まない,責任感のある-責任感のない,traitq08,37,1,approachableness
頼まない,軽率な-慎重な,traitq09,37,1,approachableness
心配しない,感じの悪い-感じの良い,traitq14,38,1,approachableness
心配しない,心の広い-心の狭い,traitq06,38,1,approachableness
心配しない,非社交的な-社交的な,traitq07,38,1,approachableness
心配しない,積極的な-消極的な,traitq01,38,1,approachableness
心配しない,責任感のある-責任感のない,traitq08,38,1,approachableness
心配しない,軽率な-慎重な,traitq09,38,1,approachableness
貸さない,感じの悪い-感じの良い,traitq14,39,1,approachableness
貸さない,心の広い-心の狭い,traitq06,39,1,approachableness
貸さない,非社交的な-社交的な,traitq07,39,1,approachableness
貸さない,積極的な-消極的な,traitq01,39,1,approachableness
貸さない,責任感のある-責任感のない,traitq08,39,1,approachableness
貸さない,軽率な-慎重な,traitq09,39,1,approachableness
相談しない,感じの悪い-感じの良い,traitq14,40,1,approachableness
相談しない,心の広い-心の狭い,traitq06,40,1,approachableness
相談しない,非社交的な-社交的な,traitq07,40,1,approachableness
相談しない,積極的な-消極的な,traitq01,40,1,approachableness
相談しない,責任感のある-責任感のない,traitq08,40,1,approachableness
相談しない,軽率な-慎重な,traitq09,40,1,approachableness
入らない,感じの悪い-感じの良い,traitq14,41,1,extraversion
入らない,心の広い-心の狭い,traitq06,41,1,extraversion
入らない,非社交的な-社交的な,traitq07,41,1,extraversion
入らない,積極的な-消極的な,traitq01,41,1,extraversion
入らない,責任感のある-責任感のない,traitq08,41,1,extraversion
入らない,軽率な-慎重な,traitq09,41,1,extraversion
進まない,感じの悪い-感じの良い,traitq14,42,1,extraversion
進まない,心の広い-心の狭い,traitq06,42,1,extraversion
進まない,非社交的な-社交的な,traitq07,42,1,extraversion
進まない,積極的な-消極的な,traitq01,42,1,extraversion
進まない,責任感のある-責任感のない,traitq08,42,1,extraversion
進まない,軽率な-慎重な,traitq09,42,1,extraversion
飲まない,感じの悪い-感じの良い,traitq14,43,1,extraversion
飲まない,心の広い-心の狭い,traitq06,43,1,extraversion
飲まない,非社交的な-社交的な,traitq07,43,1,extraversion
飲まない,積極的な-消極的な,traitq01,43,1,extraversion
飲まない,責任感のある-責任感のない,traitq08,43,1,extraversion
飲まない,軽率な-慎重な,traitq09,43,1,extraversion
発言しない,感じの悪い-感じの良い,traitq14,44,1,extraversion
発言しない,心の広い-心の狭い,traitq06,44,1,extraversion
発言しない,非社交的な-社交的な,traitq07,44,1,extraversion
発言しない,積極的な-消極的な,traitq01,44,1,extraversion
発言しない,責任感のある-責任感のない,traitq08,44,1,extraversion
発言しない,軽率な-慎重な,traitq09,44,1,extraversion
出ない,感じの悪い-感じの良い,traitq14,45,1,extraversion
出ない,心の広い-心の狭い,traitq06,45,1,extraversion
出ない,非社交的な-社交的な,traitq07,45,1,extraversion
出ない,積極的な-消極的な,traitq01,45,1,extraversion
出ない,責任感のある-責任感のない,traitq08,45,1,extraversion
出ない,軽率な-慎重な,traitq09,45,1,extraversion
活動しない,感じの悪い-感じの良い,traitq14,46,1,extraversion
活動しない,心の広い-心の狭い,traitq06,46,1,extraversion
活動しない,非社交的な-社交的な,traitq07,46,1,extraversion
活動しない,積極的な-消極的な,traitq01,46,1,extraversion
活動しない,責任感のある-責任感のない,traitq08,46,1,extraversion
活動しない,軽率な-慎重な,traitq09,46,1,extraversion
旅行しない,感じの悪い-感じの良い,traitq14,47,1,extraversion
旅行しない,心の広い-心の狭い,traitq06,47,1,extraversion
旅行しない,非社交的な-社交的な,traitq07,47,1,extraversion
旅行しない,積極的な-消極的な,traitq01,47,1,extraversion
旅行しない,責任感のある-責任感のない,traitq08,47,1,extraversion
旅行しない,軽率な-慎重な,traitq09,47,1,extraversion
交流しない,感じの悪い-感じの良い,traitq14,48,1,extraversion
交流しない,心の広い-心の狭い,traitq06,48,1,extraversion
交流しない,非社交的な-社交的な,traitq07,48,1,extraversion
交流しない,積極的な-消極的な,traitq01,48,1,extraversion
交流しない,責任感のある-責任感のない,traitq08,48,1,extraversion
交流しない,軽率な-慎重な,traitq09,48,1,extraversion
持たない,感じの悪い-感じの良い,traitq14,49,1,extraversion
持たない,心の広い-心の狭い,traitq06,49,1,extraversion
持たない,非社交的な-社交的な,traitq07,49,1,extraversion
持たない,積極的な-消極的な,traitq01,49,1,extraversion
持たない,責任感のある-責任感のない,traitq08,49,1,extraversion
持たない,軽率な-慎重な,traitq09,49,1,extraversion
評価しない,感じの悪い-感じの良い,traitq14,50,1,extraversion
評価しない,心の広い-心の狭い,traitq06,50,1,extraversion
評価しない,非社交的な-社交的な,traitq07,50,1,extraversion
評価しない,積極的な-消極的な,traitq01,50,1,extraversion
評価しない,責任感のある-責任感のない,traitq08,50,1,extraversion
評価しない,軽率な-慎重な,traitq09,50,1,extraversion
仕事しない,感じの悪い-感じの良い,traitq14,51,1,responsibility
仕事しない,心の広い-心の狭い,traitq06,51,1,responsibility
仕事しない,非社交的な-社交的な,traitq07,51,1,responsibility
仕事しない,積極的な-消極的な,traitq01,51,1,responsibility
仕事しない,責任感のある-責任感のない,traitq08,51,1,responsibility
仕事しない,軽率な-慎重な,traitq09,51,1,responsibility
買わない,感じの悪い-感じの良い,traitq14,52,1,responsibility
買わない,心の広い-心の狭い,traitq06,52,1,responsibility
買わない,非社交的な-社交的な,traitq07,52,1,responsibility
買わない,積極的な-消極的な,traitq01,52,1,responsibility
買わない,責任感のある-責任感のない,traitq08,52,1,responsibility
買わない,軽率な-慎重な,traitq09,52,1,responsibility
考えない,感じの悪い-感じの良い,traitq14,53,1,responsibility
考えない,心の広い-心の狭い,traitq06,53,1,responsibility
考えない,非社交的な-社交的な,traitq07,53,1,responsibility
考えない,積極的な-消極的な,traitq01,53,1,responsibility
考えない,責任感のある-責任感のない,traitq08,53,1,responsibility
考えない,軽率な-慎重な,traitq09,53,1,responsibility
決めない,感じの悪い-感じの良い,traitq14,54,1,responsibility
決めない,心の広い-心の狭い,traitq06,54,1,responsibility
決めない,非社交的な-社交的な,traitq07,54,1,responsibility
決めない,積極的な-消極的な,traitq01,54,1,responsibility
決めない,責任感のある-責任感のない,traitq08,54,1,responsibility
決めない,軽率な-慎重な,traitq09,54,1,responsibility
計画しない,感じの悪い-感じの良い,traitq14,55,1,responsibility
計画しない,心の広い-心の狭い,traitq06,55,1,responsibility
計画しない,非社交的な-社交的な,traitq07,55,1,responsibility
計画しない,積極的な-消極的な,traitq01,55,1,responsibility
計画しない,責任感のある-責任感のない,traitq08,55,1,responsibility
計画しない,軽率な-慎重な,traitq09,55,1,responsibility
務めない,感じの悪い-感じの良い,traitq14,56,1,responsibility
務めない,心の広い-心の狭い,traitq06,56,1,responsibility
務めない,非社交的な-社交的な,traitq07,56,1,responsibility
務めない,積極的な-消極的な,traitq01,56,1,responsibility
務めない,責任感のある-責任感のない,traitq08,56,1,responsibility
務めない,軽率な-慎重な,traitq09,56,1,responsibility
近づかない,感じの悪い-感じの良い,traitq14,57,1,responsibility
近づかない,心の広い-心の狭い,traitq06,57,1,responsibility
近づかない,非社交的な-社交的な,traitq07,57,1,responsibility
近づかない,積極的な-消極的な,traitq01,57,1,responsibility
近づかない,責任感のある-責任感のない,traitq08,57,1,responsibility
近づかない,軽率な-慎重な,traitq09,57,1,responsibility
近寄らない,感じの悪い-感じの良い,traitq14,58,1,responsibility
近寄らない,心の広い-心の狭い,traitq06,58,1,responsibility
近寄らない,非社交的な-社交的な,traitq07,58,1,responsibility
近寄らない,積極的な-消極的な,traitq01,58,1,responsibility
近寄らない,責任感のある-責任感のない,traitq08,58,1,responsibility
近寄らない,軽率な-慎重な,traitq09,58,1,responsibility
休まない,感じの悪い-感じの良い,traitq14,59,1,responsibility
休まない,心の広い-心の狭い,traitq06,59,1,responsibility
休まない,非社交的な-社交的な,traitq07,59,1,responsibility
休まない,積極的な-消極的な,traitq01,59,1,responsibility
休まない,責任感のある-責任感のない,traitq08,59,1,responsibility
休まない,軽率な-慎重な,traitq09,59,1,responsibility
行わない,感じの悪い-感じの良い,traitq14,60,1,responsibility
行わない,心の広い-心の狭い,traitq06,60,1,responsibility
行わない,非社交的な-社交的な,traitq07,60,1,responsibility
行わない,積極的な-消極的な,traitq01,60,1,responsibility
行わない,責任感のある-責任感のない,traitq08,60,1,responsibility
行わない,軽率な-慎重な,traitq09,60,1,responsibility
