verbs,questionnarie,q_id,verb_id
飲む,心の広い-心の狭い,2,28
飲む,非社交的な-社交的な,3,28
飲む,積極的な-消極的な,4,28
飲む,責任感のある-責任感のない,5,28
飲む,軽率な-慎重な,6,28
卑下する,感じの悪い-感じの良い,1,29
卑下する,心の広い-心の狭い,2,29
卑下する,非社交的な-社交的な,3,29
卑下する,積極的な-消極的な,4,29
卑下する,責任感のある-責任感のない,5,29
卑下する,軽率な-慎重な,6,29
買う,感じの悪い-感じの良い,1,30
買う,心の広い-心の狭い,2,30
買う,非社交的な-社交的な,3,30
買う,積極的な-消極的な,4,30
買う,責任感のある-責任感のない,5,30
買う,軽率な-慎重な,6,30
仕事しない,感じの悪い-感じの良い,1,31
仕事しない,心の広い-心の狭い,2,31
仕事しない,非社交的な-社交的な,3,31
仕事しない,積極的な-消極的な,4,31
仕事しない,責任感のある-責任感のない,5,31
仕事しない,軽率な-慎重な,6,31
考えない,感じの悪い-感じの良い,1,32
考えない,心の広い-心の狭い,2,32
考えない,非社交的な-社交的な,3,32
考えない,積極的な-消極的な,4,32
考えない,責任感のある-責任感のない,5,32
考えない,軽率な-慎重な,6,32
怒らない,感じの悪い-感じの良い,1,33
怒らない,心の広い-心の狭い,2,33
怒らない,非社交的な-社交的な,3,33
怒らない,積極的な-消極的な,4,33
怒らない,責任感のある-責任感のない,5,33
怒らない,軽率な-慎重な,6,33
任せない,感じの悪い-感じの良い,1,34
任せない,心の広い-心の狭い,2,34
任せない,非社交的な-社交的な,3,34
任せない,積極的な-消極的な,4,34
任せない,責任感のある-責任感のない,5,34
任せない,軽率な-慎重な,6,34
行動しない,感じの悪い-感じの良い,1,35
行動しない,心の広い-心の狭い,2,35
行動しない,非社交的な-社交的な,3,35
行動しない,積極的な-消極的な,4,35
行動しない,責任感のある-責任感のない,5,35
行動しない,軽率な-慎重な,6,35
親しまない,感じの悪い-感じの良い,1,36
親しまない,心の広い-心の狭い,2,36
親しまない,非社交的な-社交的な,3,36
親しまない,積極的な-消極的な,4,36
親しまない,責任感のある-責任感のない,5,36
親しまない,軽率な-慎重な,6,36
困らない,感じの悪い-感じの良い,1,37
困らない,心の広い-心の狭い,2,37
困らない,非社交的な-社交的な,3,37
困らない,積極的な-消極的な,4,37
困らない,責任感のある-責任感のない,5,37
困らない,軽率な-慎重な,6,37
近づかない,感じの悪い-感じの良い,1,38
近づかない,心の広い-心の狭い,2,38
近づかない,非社交的な-社交的な,3,38
近づかない,積極的な-消極的な,4,38
近づかない,責任感のある-責任感のない,5,38
近づかない,軽率な-慎重な,6,38
参加しない,感じの悪い-感じの良い,1,39
参加しない,心の広い-心の狭い,2,39
参加しない,非社交的な-社交的な,3,39
参加しない,積極的な-消極的な,4,39
参加しない,責任感のある-責任感のない,5,39
参加しない,軽率な-慎重な,6,39
発表しない,感じの悪い-感じの良い,1,40
発表しない,心の広い-心の狭い,2,40
発表しない,非社交的な-社交的な,3,40
発表しない,積極的な-消極的な,4,40
発表しない,責任感のある-責任感のない,5,40
発表しない,軽率な-慎重な,6,40
与えない,感じの悪い-感じの良い,1,41
与えない,心の広い-心の狭い,2,41
与えない,非社交的な-社交的な,3,41
与えない,積極的な-消極的な,4,41
与えない,責任感のある-責任感のない,5,41
与えない,軽率な-慎重な,6,41
出ない,感じの悪い-感じの良い,1,42
出ない,心の広い-心の狭い,2,42
出ない,非社交的な-社交的な,3,42
出ない,積極的な-消極的な,4,42
出ない,責任感のある-責任感のない,5,42
出ない,軽率な-慎重な,6,42
助けない,感じの悪い-感じの良い,1,43
助けない,心の広い-心の狭い,2,43
助けない,非社交的な-社交的な,3,43
助けない,積極的な-消極的な,4,43
助けない,責任感のある-責任感のない,5,43
助けない,軽率な-慎重な,6,43
確認しない,感じの悪い-感じの良い,1,44
確認しない,心の広い-心の狭い,2,44
確認しない,非社交的な-社交的な,3,44
確認しない,積極的な-消極的な,4,44
確認しない,責任感のある-責任感のない,5,44
確認しない,軽率な-慎重な,6,44
教えない,感じの悪い-感じの良い,1,45
教えない,心の広い-心の狭い,2,45
教えない,非社交的な-社交的な,3,45
教えない,積極的な-消極的な,4,45
教えない,責任感のある-責任感のない,5,45
教えない,軽率な-慎重な,6,45
決めない,感じの悪い-感じの良い,1,46
決めない,心の広い-心の狭い,2,46
決めない,非社交的な-社交的な,3,46
決めない,積極的な-消極的な,4,46
決めない,責任感のある-責任感のない,5,46
決めない,軽率な-慎重な,6,46
沈まない,感じの悪い-感じの良い,1,47
沈まない,心の広い-心の狭い,2,47
沈まない,非社交的な-社交的な,3,47
沈まない,積極的な-消極的な,4,47
沈まない,責任感のある-責任感のない,5,47
沈まない,軽率な-慎重な,6,47
許さない,感じの悪い-感じの良い,1,48
許さない,心の広い-心の狭い,2,48
許さない,非社交的な-社交的な,3,48
許さない,積極的な-消極的な,4,48
許さない,責任感のある-責任感のない,5,48
許さない,軽率な-慎重な,6,48
目立たない,感じの悪い-感じの良い,1,49
目立たない,心の広い-心の狭い,2,49
目立たない,非社交的な-社交的な,3,49
目立たない,積極的な-消極的な,4,49
目立たない,責任感のある-責任感のない,5,49
目立たない,軽率な-慎重な,6,49
計画しない,感じの悪い-感じの良い,1,50
計画しない,心の広い-心の狭い,2,50
計画しない,非社交的な-社交的な,3,50
計画しない,積極的な-消極的な,4,50
計画しない,責任感のある-責任感のない,5,50
計画しない,軽率な-慎重な,6,50
発言しない,感じの悪い-感じの良い,1,51
発言しない,心の広い-心の狭い,2,51
発言しない,非社交的な-社交的な,3,51
発言しない,積極的な-消極的な,4,51
発言しない,責任感のある-責任感のない,5,51
発言しない,軽率な-慎重な,6,51
活動しない,感じの悪い-感じの良い,1,52
活動しない,心の広い-心の狭い,2,52
活動しない,非社交的な-社交的な,3,52
活動しない,積極的な-消極的な,4,52
活動しない,責任感のある-責任感のない,5,52
活動しない,軽率な-慎重な,6,52
務めない,感じの悪い-感じの良い,1,53
務めない,心の広い-心の狭い,2,53
務めない,非社交的な-社交的な,3,53
務めない,積極的な-消極的な,4,53
務めない,責任感のある-責任感のない,5,53
務めない,軽率な-慎重な,6,53
聞かない,感じの悪い-感じの良い,1,54
聞かない,心の広い-心の狭い,2,54
聞かない,非社交的な-社交的な,3,54
聞かない,積極的な-消極的な,4,54
聞かない,責任感のある-責任感のない,5,54
聞かない,軽率な-慎重な,6,54
落ち込まない,感じの悪い-感じの良い,1,55
落ち込まない,心の広い-心の狭い,2,55
落ち込まない,非社交的な-社交的な,3,55
落ち込まない,積極的な-消極的な,4,55
落ち込まない,責任感のある-責任感のない,5,55
落ち込まない,軽率な-慎重な,6,55
歌わない,感じの悪い-感じの良い,1,56
歌わない,心の広い-心の狭い,2,56
歌わない,非社交的な-社交的な,3,56
歌わない,積極的な-消極的な,4,56
歌わない,責任感のある-責任感のない,5,56
歌わない,軽率な-慎重な,6,56
休まない,感じの悪い-感じの良い,1,57
休まない,心の広い-心の狭い,2,57
休まない,非社交的な-社交的な,3,57
休まない,積極的な-消極的な,4,57
休まない,責任感のある-責任感のない,5,57
休まない,軽率な-慎重な,6,57
飲まない,感じの悪い-感じの良い,1,58
飲まない,心の広い-心の狭い,2,58
飲まない,非社交的な-社交的な,3,58
飲まない,積極的な-消極的な,4,58
飲まない,責任感のある-責任感のない,5,58
飲まない,軽率な-慎重な,6,58
卑下しない,感じの悪い-感じの良い,1,59
卑下しない,心の広い-心の狭い,2,59
卑下しない,非社交的な-社交的な,3,59
卑下しない,積極的な-消極的な,4,59
卑下しない,責任感のある-責任感のない,5,59
卑下しない,軽率な-慎重な,6,59
買わない,感じの悪い-感じの良い,1,60
買わない,心の広い-心の狭い,2,60
買わない,非社交的な-社交的な,3,60
買わない,積極的な-消極的な,4,60
買わない,責任感のある-責任感のない,5,60
買わない,軽率な-慎重な,6,60
