verbs,questionnarie,q_num,verb_id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,participant,session,date,expName,frameRate,
買う,不親切だ-親切だ,20,41,0,17,17,819,0,1.755,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,近づきがたい-人懐っこい,4,12,0,18,18,223,1,3.0,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
与える,憎らしい-可愛らしい,5,58,0,19,19,1144,2,5.941,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
買う,心が狭い-心が広い,6,41,0,20,20,805,1,3.073,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
買う,短気だ-気長だ,19,41,0,21,21,818,0,1.963,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
取り組む,自信がない-自信がある,18,36,0,22,22,717,1,7.23,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
話す,人がわるい-人が良い,2,18,0,23,23,341,1,6.001,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
確認する,軽率だ-慎重だ,9,59,0,24,24,1168,3,2.536,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
歌う,人がわるい-人が良い,2,57,0,25,25,1121,1,2.303,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近づく,親しみにくい-親しみやすい,16,52,0,26,26,1035,3,2.116,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
立候補する,不親切だ-親切だ,20,54,0,27,27,1079,1,29.251,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,卑屈だ-堂々とした,13,34,0,28,28,672,2,3.341,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
交流する,人がわるい-人が良い,2,33,0,29,29,641,3,2.086,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近寄る,非社交的だ-社交的だ,7,45,0,30,30,886,3,1.951,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近づく,責任感がない-責任感がある,8,52,0,31,31,1027,0,2.247,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
仕事する,短気だ-気長だ,19,40,0,32,32,798,0,1.953,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
飲む,沈んだ-うきうきした,12,30,0,33,33,591,0,2.252,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
教える,卑屈だ-堂々とした,13,17,0,34,34,332,1,2.572,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
気に入る,責任感がない-責任感がある,8,2,0,35,35,27,0,2.352,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
仕事する,人がわるい-人が良い,2,40,0,36,36,781,1,3.554,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
教える,感じが悪い-感じが良い,14,17,0,37,37,333,1,3.169,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
出る,近づきがたい-人懐っこい,4,44,0,38,38,863,1,3.668,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
感じる,無気力だ-意欲的だ,17,16,0,39,39,316,0,2.523,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
許す,心が狭い-心が広い,6,14,0,40,40,265,3,2.008,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
助ける,近づきがたい-人懐っこい,4,24,0,41,41,463,3,3.352,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
参加する,軽薄だ-重厚だ,11,48,0,42,42,950,0,7.777,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
聞く,短気だ-気長だ,19,6,0,43,43,118,2,2.758,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
受け入れる,責任感がない-責任感がある,8,13,0,44,44,247,1,32.556,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
見下す,非社交的だ-社交的だ,7,22,0,45,45,426,-2,15.825,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
聞く,軽率だ-慎重だ,9,6,0,46,46,108,2,2.859,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
休む,生意気だ-生意気でない,3,49,0,47,47,962,0,48.749,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
貸す,憎らしい-可愛らしい,5,9,0,48,48,164,2,3.271,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
送る,責任感がない-責任感がある,8,15,0,49,49,287,1,19.903,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,生意気だ-生意気でない,3,12,0,50,50,222,1,3.206,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
聞く,親しみにくい-親しみやすい,16,6,0,51,51,115,3,2.352,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
許す,非社交的だ-社交的だ,7,14,0,52,52,266,3,1.873,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
出る,非社交的だ-社交的だ,7,44,0,53,53,866,2,29.249,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
親しむ,近づきがたい-人懐っこい,4,20,0,54,54,383,2,16.835,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
楽しむ,不親切だ-親切だ,20,39,0,55,55,779,2,65.585,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
確認する,恥知らずだ-恥ずかしがりだ,10,59,0,56,56,1169,1,2.955,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
立候補する,軽率だ-慎重だ,9,54,0,57,57,1068,0,3.359,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行動する,心が狭い-心が広い,6,31,0,58,58,605,0,34.033,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発言する,恥知らずだ-恥ずかしがりだ,10,29,0,59,59,569,-1,34.354,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
目立つ,恥知らずだ-恥ずかしがりだ,10,46,0,60,60,909,-2,15.014,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
旅行する,責任感がない-責任感がある,8,38,0,61,61,747,0,2.846,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
計画する,感じが悪い-感じが良い,14,47,0,62,62,933,0,1.917,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
目立つ,沈んだ-うきうきした,12,46,0,63,63,911,2,4.975,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
心配する,短気だ-気長だ,19,8,0,64,64,158,0,4.256,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
沈む,近づきがたい-人懐っこい,4,56,0,65,65,1103,-1,2.431,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
入る,近づきがたい-人懐っこい,4,35,0,66,66,683,0,4.216,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
立候補する,短気だ-気長だ,19,54,0,67,67,1078,0,2.99,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
進む,近づきがたい-人懐っこい,4,37,0,68,68,723,0,13.537,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,近づきがたい-人懐っこい,4,50,0,69,69,983,-2,2.682,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
任す,人がわるい-人が良い,2,60,0,70,70,1181,1,5.406,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
気に入る,近づきがたい-人懐っこい,4,2,0,71,71,23,1,3.038,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
与える,感じが悪い-感じが良い,14,58,0,72,72,1153,3,1.67,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
受け入れる,生意気だ-生意気でない,3,13,0,73,73,242,3,3.725,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発言する,不親切だ-親切だ,20,29,0,74,74,579,0,1.939,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
困る,卑屈だ-堂々とした,13,21,0,75,75,412,-2,2.153,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,無気力だ-意欲的だ,17,19,0,76,76,376,2,4.292,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
決める,沈んだ-うきうきした,12,43,0,77,77,851,1,3.8,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
感じる,軽率だ-慎重だ,9,16,0,78,78,308,0,1.527,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
話す,親しみにくい-親しみやすい,16,18,0,79,79,355,2,3.09,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
休む,恥知らずだ-恥ずかしがりだ,10,49,0,80,80,969,0,3.376,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
困る,消極的だ-積極的だ,1,21,0,81,81,400,0,2.277,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
仕事する,消極的だ-積極的だ,1,40,0,82,82,780,3,3.948,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
決める,責任感がない-責任感がある,8,43,0,83,83,847,1,3.738,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行動する,沈んだ-うきうきした,12,31,0,84,84,611,1,1.853,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
立候補する,無気力だ-意欲的だ,17,54,0,85,85,1076,3,2.315,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,短気だ-気長だ,19,34,0,86,86,678,0,3.116,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
困る,恥知らずだ-恥ずかしがりだ,10,21,0,87,87,409,1,3.574,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
沈む,心が狭い-心が広い,6,56,0,88,88,1105,0,7.922,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,人がわるい-人が良い,2,19,0,89,89,361,0,3.706,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
心配する,軽率だ-慎重だ,9,8,0,90,90,148,3,2.724,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
話しかける,軽薄だ-重厚だ,11,25,0,91,91,490,0,2.36,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,消極的だ-積極的だ,1,4,0,92,92,60,3,5.028,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
目立つ,無気力だ-意欲的だ,17,46,0,93,93,916,3,1.682,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
務める,無分別だ-分別がある,15,53,0,94,94,1054,2,2.002,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,責任感がない-責任感がある,8,19,0,95,95,367,1,8.237,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,生意気だ-生意気でない,3,19,0,96,96,362,0,2.814,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
持つ,人がわるい-人が良い,2,27,0,97,97,521,0,2.323,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
断る,自信がない-自信がある,18,5,0,98,98,97,0,6.119,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発表する,軽率だ-慎重だ,9,55,0,99,99,1088,0,3.419,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発表する,憎らしい-可愛らしい,5,55,0,100,100,1084,0,1.746,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,人がわるい-人が良い,2,50,0,101,101,981,-1,10.639,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行く,軽率だ-慎重だ,9,26,0,102,102,508,-1,3.735,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
飲む,親しみにくい-親しみやすい,16,30,0,103,103,595,1,2.572,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
接する,近づきがたい-人懐っこい,4,3,0,104,104,43,3,1.939,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
確認する,卑屈だ-堂々とした,13,59,0,105,105,1172,0,2.64,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,不親切だ-親切だ,20,12,0,106,106,239,1,3.121,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発表する,不親切だ-親切だ,20,55,0,107,107,1099,0,5.047,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,恥知らずだ-恥ずかしがりだ,10,34,0,108,108,669,-1,4.309,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
言う,責任感がない-責任感がある,8,23,0,109,109,447,0,2.238,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行動する,近づきがたい-人懐っこい,4,31,0,110,110,603,0,3.906,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
断る,憎らしい-可愛らしい,5,5,0,111,111,84,-1,2.656,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近寄る,不親切だ-親切だ,20,45,0,112,112,899,1,2.688,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
言う,無分別だ-分別がある,15,23,0,113,113,454,0,4.007,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
参加する,自信がない-自信がある,18,48,0,114,114,957,2,2.089,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,軽薄だ-重厚だ,11,50,0,115,115,990,-1,3.829,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近寄る,卑屈だ-堂々とした,13,45,0,116,116,892,2,4.307,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
与える,心が狭い-心が広い,6,58,0,117,117,1145,3,1.775,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,無分別だ-分別がある,15,34,0,118,118,674,1,2.258,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
楽しむ,近づきがたい-人懐っこい,4,39,0,119,119,763,3,3.972,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
取り組む,沈んだ-うきうきした,12,36,0,120,120,711,1,8.235,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,短気だ-気長だ,19,4,0,121,121,78,0,2.141,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
決める,消極的だ-積極的だ,1,43,0,122,122,840,3,2.307,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
考える,自信がない-自信がある,18,32,0,123,123,637,0,2.585,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
計画する,恥知らずだ-恥ずかしがりだ,10,47,0,124,124,929,0,1.727,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
沈む,無気力だ-意欲的だ,17,56,0,125,125,1116,-2,4.807,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,不親切だ-親切だ,20,4,0,126,126,79,3,2.527,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
引き受ける,恥知らずだ-恥ずかしがりだ,10,11,0,127,127,209,0,2.39,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,憎らしい-可愛らしい,5,34,0,128,128,664,0,1.522,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,沈んだ-うきうきした,12,4,0,129,129,71,1,2.741,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,近づきがたい-人懐っこい,4,4,0,130,130,63,2,3.777,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
受け入れる,軽薄だ-重厚だ,11,13,0,131,131,250,0,7.092,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
旅行する,人がわるい-人が良い,2,38,0,132,132,741,1,3.673,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行く,沈んだ-うきうきした,12,26,0,133,133,511,1,2.457,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
見下す,恥知らずだ-恥ずかしがりだ,10,22,0,134,134,429,-1,2.39,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
入る,親しみにくい-親しみやすい,16,35,0,135,135,695,1,9.171,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
教える,責任感がない-責任感がある,8,17,0,136,136,327,1,2.19,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
許す,自信がない-自信がある,18,14,0,137,137,277,3,2.491,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
旅行する,恥知らずだ-恥ずかしがりだ,10,38,0,138,138,749,0,3.606,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
感じる,卑屈だ-堂々とした,13,16,0,139,139,312,0,1.574,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
親しむ,消極的だ-積極的だ,1,20,0,140,140,380,2,2.409,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
頼む,人がわるい-人が良い,2,7,0,141,141,121,0,3.702,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
与える,非社交的だ-社交的だ,7,58,0,142,142,1146,3,2.272,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
引き受ける,短気だ-気長だ,19,11,0,143,143,218,2,1.84,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
心配する,卑屈だ-堂々とした,13,8,0,144,144,152,0,2.289,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
参加する,卑屈だ-堂々とした,13,48,0,145,145,952,2,2.427,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,卑屈だ-堂々とした,13,12,0,146,146,232,0,1.817,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,親しみにくい-親しみやすい,16,50,0,147,147,995,-1,1.821,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
相談する,恥知らずだ-恥ずかしがりだ,10,10,0,148,148,189,1,4.707,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近寄る,憎らしい-可愛らしい,5,45,0,149,149,884,2,1.857,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
心配する,親しみにくい-親しみやすい,16,8,0,150,150,155,1,3.423,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,無分別だ-分別がある,15,50,0,151,151,994,-1,3.457,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,人がわるい-人が良い,2,4,0,152,152,61,3,3.904,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
話しかける,自信がない-自信がある,18,25,0,153,153,497,2,1.837,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,憎らしい-可愛らしい,5,12,0,154,154,224,1,1.524,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
受け入れる,恥知らずだ-恥ずかしがりだ,10,13,0,155,155,249,0,3.098,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,卑屈だ-堂々とした,13,4,0,156,156,72,2,10.968,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
連絡する,無気力だ-意欲的だ,17,1,0,157,157,16,2,2.037,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
休む,軽薄だ-重厚だ,11,49,0,158,158,970,0,3.322,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
話しかける,憎らしい-可愛らしい,5,25,0,159,159,484,2,1.69,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
相談する,無気力だ-意欲的だ,17,10,0,160,160,196,2,2.525,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
断る,軽率だ-慎重だ,9,5,0,161,161,88,1,2.14,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
取り組む,恥知らずだ-恥ずかしがりだ,10,36,0,162,162,709,0,2.171,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
与える,無気力だ-意欲的だ,17,58,0,163,163,1156,2,1.885,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
入る,無分別だ-分別がある,15,35,0,164,164,694,0,2.903,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
交流する,軽率だ-慎重だ,9,33,0,165,165,648,0,12.272,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
活動する,無気力だ-意欲的だ,17,42,0,166,166,836,3,3.238,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
目立つ,生意気だ-生意気でない,3,46,0,167,167,902,-1,2.943,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行く,親しみにくい-親しみやすい,16,26,0,168,168,515,2,3.306,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
買う,卑屈だ-堂々とした,13,41,0,169,169,812,0,2.523,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
頼む,近づきがたい-人懐っこい,4,7,0,170,170,123,2,8.356,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
頼む,自信がない-自信がある,18,7,0,171,171,137,1,3.793,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
親しむ,短気だ-気長だ,19,20,0,172,172,398,0,3.99,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
立候補する,自信がない-自信がある,18,54,0,173,173,1077,3,2.935,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
相談する,人がわるい-人が良い,2,10,0,174,174,181,1,1.705,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
活動する,恥知らずだ-恥ずかしがりだ,10,42,0,175,175,829,0,5.842,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
合う,無気力だ-意欲的だ,17,12,0,176,176,236,0,1.821,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近づく,感じが悪い-感じが良い,14,52,0,177,177,1033,1,2.218,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
助ける,恥知らずだ-恥ずかしがりだ,10,24,0,178,178,469,0,3.764,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
入る,不親切だ-親切だ,20,35,0,179,179,699,0,5.939,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
近づく,恥知らずだ-恥ずかしがりだ,10,52,0,180,180,1029,0,2.721,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
連絡する,卑屈だ-堂々とした,13,1,0,181,181,12,1,4.393,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
言う,非社交的だ-社交的だ,7,23,0,182,182,446,2,2.676,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
務める,近づきがたい-人懐っこい,4,53,0,183,183,1043,1,12.154,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
