verbs,traitq,ratings,questionnarie,q_id,verb_id,negative_flag,pca_cat,traitq_id,pca_cat_id_q
連絡する,責任感のある-責任感のない,-3,積極的な-消極的な,4,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,積極的な-消極的な,4,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,積極的な-消極的な,4,1,0,approachableness,traitq07,cat2
連絡する,心の広い-心の狭い,-2,責任感のある-責任感のない,5,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,責任感のある-責任感のない,5,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,責任感のある-責任感のない,5,1,0,approachableness,traitq01,cat2
連絡する,責任感のある-責任感のない,-3,責任感のある-責任感のない,5,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,責任感のある-責任感のない,5,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,責任感のある-責任感のない,5,1,0,approachableness,traitq07,cat2
連絡する,心の広い-心の狭い,-2,軽率な-慎重な,6,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,軽率な-慎重な,6,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,軽率な-慎重な,6,1,0,approachableness,traitq01,cat2
連絡する,責任感のある-責任感のない,-3,軽率な-慎重な,6,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,軽率な-慎重な,6,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,軽率な-慎重な,6,1,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,感じの悪い-感じの良い,1,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,感じの悪い-感じの良い,1,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,感じの悪い-感じの良い,1,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,感じの悪い-感じの良い,1,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,感じの悪い-感じの良い,1,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,感じの悪い-感じの良い,1,2,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,心の広い-心の狭い,2,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,心の広い-心の狭い,2,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,心の広い-心の狭い,2,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,心の広い-心の狭い,2,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,心の広い-心の狭い,2,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,心の広い-心の狭い,2,2,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,非社交的な-社交的な,3,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,非社交的な-社交的な,3,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,非社交的な-社交的な,3,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,非社交的な-社交的な,3,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,非社交的な-社交的な,3,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,非社交的な-社交的な,3,2,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,積極的な-消極的な,4,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,積極的な-消極的な,4,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,積極的な-消極的な,4,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,積極的な-消極的な,4,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,積極的な-消極的な,4,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,積極的な-消極的な,4,2,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,責任感のある-責任感のない,5,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,責任感のある-責任感のない,5,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,責任感のある-責任感のない,5,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,責任感のある-責任感のない,5,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,責任感のある-責任感のない,5,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,責任感のある-責任感のない,5,2,0,approachableness,traitq07,cat2
気に入る,心の広い-心の狭い,-2,軽率な-慎重な,6,2,0,approachableness,traitq06,cat1
気に入る,感じの悪い-感じの良い,3,軽率な-慎重な,6,2,0,approachableness,traitq14,cat1
気に入る,積極的な-消極的な,-3,軽率な-慎重な,6,2,0,approachableness,traitq01,cat2
気に入る,責任感のある-責任感のない,-2,軽率な-慎重な,6,2,0,approachableness,traitq08,cat3
気に入る,軽率な-慎重な,2,軽率な-慎重な,6,2,0,approachableness,traitq09,cat3
気に入る,非社交的な-社交的な,3,軽率な-慎重な,6,2,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,感じの悪い-感じの良い,1,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,感じの悪い-感じの良い,1,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,感じの悪い-感じの良い,1,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,感じの悪い-感じの良い,1,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,感じの悪い-感じの良い,1,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,感じの悪い-感じの良い,1,3,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,心の広い-心の狭い,2,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,心の広い-心の狭い,2,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,心の広い-心の狭い,2,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,心の広い-心の狭い,2,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,心の広い-心の狭い,2,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,心の広い-心の狭い,2,3,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,非社交的な-社交的な,3,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,非社交的な-社交的な,3,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,非社交的な-社交的な,3,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,非社交的な-社交的な,3,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,非社交的な-社交的な,3,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,非社交的な-社交的な,3,3,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,積極的な-消極的な,4,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,積極的な-消極的な,4,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,積極的な-消極的な,4,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,積極的な-消極的な,4,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,積極的な-消極的な,4,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,積極的な-消極的な,4,3,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,責任感のある-責任感のない,5,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,責任感のある-責任感のない,5,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,責任感のある-責任感のない,5,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,責任感のある-責任感のない,5,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,責任感のある-責任感のない,5,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,責任感のある-責任感のない,5,3,0,approachableness,traitq07,cat2
接する,心の広い-心の狭い,-3,軽率な-慎重な,6,3,0,approachableness,traitq06,cat1
接する,感じの悪い-感じの良い,2,軽率な-慎重な,6,3,0,approachableness,traitq14,cat1
接する,積極的な-消極的な,-2,軽率な-慎重な,6,3,0,approachableness,traitq01,cat2
接する,責任感のある-責任感のない,2,軽率な-慎重な,6,3,0,approachableness,traitq08,cat3
接する,軽率な-慎重な,-1,軽率な-慎重な,6,3,0,approachableness,traitq09,cat3
接する,非社交的な-社交的な,3,軽率な-慎重な,6,3,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,感じの悪い-感じの良い,1,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,感じの悪い-感じの良い,1,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,感じの悪い-感じの良い,1,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,感じの悪い-感じの良い,1,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,感じの悪い-感じの良い,1,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,感じの悪い-感じの良い,1,4,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,心の広い-心の狭い,2,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,心の広い-心の狭い,2,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,心の広い-心の狭い,2,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,心の広い-心の狭い,2,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,心の広い-心の狭い,2,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,心の広い-心の狭い,2,4,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,非社交的な-社交的な,3,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,非社交的な-社交的な,3,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,非社交的な-社交的な,3,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,非社交的な-社交的な,3,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,非社交的な-社交的な,3,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,非社交的な-社交的な,3,4,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,積極的な-消極的な,4,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,積極的な-消極的な,4,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,積極的な-消極的な,4,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,積極的な-消極的な,4,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,積極的な-消極的な,4,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,積極的な-消極的な,4,4,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,責任感のある-責任感のない,5,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,責任感のある-責任感のない,5,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,責任感のある-責任感のない,5,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,責任感のある-責任感のない,5,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,責任感のある-責任感のない,5,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,責任感のある-責任感のない,5,4,0,approachableness,traitq07,cat2
対応する,心の広い-心の狭い,1,軽率な-慎重な,6,4,0,approachableness,traitq06,cat1
対応する,感じの悪い-感じの良い,2,軽率な-慎重な,6,4,0,approachableness,traitq14,cat1
対応する,積極的な-消極的な,-1,軽率な-慎重な,6,4,0,approachableness,traitq01,cat2
対応する,責任感のある-責任感のない,-2,軽率な-慎重な,6,4,0,approachableness,traitq08,cat3
対応する,軽率な-慎重な,-2,軽率な-慎重な,6,4,0,approachableness,traitq09,cat3
対応する,非社交的な-社交的な,0,軽率な-慎重な,6,4,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,感じの悪い-感じの良い,1,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,感じの悪い-感じの良い,1,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,感じの悪い-感じの良い,1,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,感じの悪い-感じの良い,1,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,感じの悪い-感じの良い,1,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,感じの悪い-感じの良い,1,5,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,心の広い-心の狭い,2,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,心の広い-心の狭い,2,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,心の広い-心の狭い,2,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,心の広い-心の狭い,2,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,心の広い-心の狭い,2,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,心の広い-心の狭い,2,5,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,非社交的な-社交的な,3,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,非社交的な-社交的な,3,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,非社交的な-社交的な,3,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,非社交的な-社交的な,3,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,非社交的な-社交的な,3,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,非社交的な-社交的な,3,5,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,積極的な-消極的な,4,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,積極的な-消極的な,4,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,積極的な-消極的な,4,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,積極的な-消極的な,4,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,積極的な-消極的な,4,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,積極的な-消極的な,4,5,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,責任感のある-責任感のない,5,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,責任感のある-責任感のない,5,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,責任感のある-責任感のない,5,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,責任感のある-責任感のない,5,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,責任感のある-責任感のない,5,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,責任感のある-責任感のない,5,5,0,approachableness,traitq07,cat2
断る,心の広い-心の狭い,-2,軽率な-慎重な,6,5,0,approachableness,traitq06,cat1
断る,感じの悪い-感じの良い,-2,軽率な-慎重な,6,5,0,approachableness,traitq14,cat1
断る,積極的な-消極的な,3,軽率な-慎重な,6,5,0,approachableness,traitq01,cat2
断る,責任感のある-責任感のない,1,軽率な-慎重な,6,5,0,approachableness,traitq08,cat3
断る,軽率な-慎重な,3,軽率な-慎重な,6,5,0,approachableness,traitq09,cat3
断る,非社交的な-社交的な,-3,軽率な-慎重な,6,5,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,感じの悪い-感じの良い,1,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,感じの悪い-感じの良い,1,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,感じの悪い-感じの良い,1,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,感じの悪い-感じの良い,1,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,感じの悪い-感じの良い,1,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,感じの悪い-感じの良い,1,6,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,心の広い-心の狭い,2,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,心の広い-心の狭い,2,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,心の広い-心の狭い,2,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,心の広い-心の狭い,2,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,心の広い-心の狭い,2,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,心の広い-心の狭い,2,6,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,非社交的な-社交的な,3,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,非社交的な-社交的な,3,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,非社交的な-社交的な,3,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,非社交的な-社交的な,3,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,非社交的な-社交的な,3,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,非社交的な-社交的な,3,6,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,積極的な-消極的な,4,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,積極的な-消極的な,4,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,積極的な-消極的な,4,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,積極的な-消極的な,4,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,積極的な-消極的な,4,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,積極的な-消極的な,4,6,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,責任感のある-責任感のない,5,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,責任感のある-責任感のない,5,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,責任感のある-責任感のない,5,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,責任感のある-責任感のない,5,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,責任感のある-責任感のない,5,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,責任感のある-責任感のない,5,6,0,approachableness,traitq07,cat2
聞く,心の広い-心の狭い,-1,軽率な-慎重な,6,6,0,approachableness,traitq06,cat1
聞く,感じの悪い-感じの良い,3,軽率な-慎重な,6,6,0,approachableness,traitq14,cat1
聞く,積極的な-消極的な,-3,軽率な-慎重な,6,6,0,approachableness,traitq01,cat2
聞く,責任感のある-責任感のない,-2,軽率な-慎重な,6,6,0,approachableness,traitq08,cat3
聞く,軽率な-慎重な,2,軽率な-慎重な,6,6,0,approachableness,traitq09,cat3
聞く,非社交的な-社交的な,3,軽率な-慎重な,6,6,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,感じの悪い-感じの良い,1,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,感じの悪い-感じの良い,1,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,感じの悪い-感じの良い,1,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,感じの悪い-感じの良い,1,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,感じの悪い-感じの良い,1,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,感じの悪い-感じの良い,1,7,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,心の広い-心の狭い,2,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,心の広い-心の狭い,2,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,心の広い-心の狭い,2,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,心の広い-心の狭い,2,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,心の広い-心の狭い,2,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,心の広い-心の狭い,2,7,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,非社交的な-社交的な,3,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,非社交的な-社交的な,3,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,非社交的な-社交的な,3,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,非社交的な-社交的な,3,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,非社交的な-社交的な,3,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,非社交的な-社交的な,3,7,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,積極的な-消極的な,4,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,積極的な-消極的な,4,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,積極的な-消極的な,4,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,積極的な-消極的な,4,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,積極的な-消極的な,4,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,積極的な-消極的な,4,7,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,責任感のある-責任感のない,5,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,責任感のある-責任感のない,5,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,責任感のある-責任感のない,5,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,責任感のある-責任感のない,5,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,責任感のある-責任感のない,5,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,責任感のある-責任感のない,5,7,0,approachableness,traitq07,cat2
頼む,心の広い-心の狭い,1,軽率な-慎重な,6,7,0,approachableness,traitq06,cat1
頼む,感じの悪い-感じの良い,0,軽率な-慎重な,6,7,0,approachableness,traitq14,cat1
頼む,積極的な-消極的な,-2,軽率な-慎重な,6,7,0,approachableness,traitq01,cat2
頼む,責任感のある-責任感のない,-2,軽率な-慎重な,6,7,0,approachableness,traitq08,cat3
頼む,軽率な-慎重な,0,軽率な-慎重な,6,7,0,approachableness,traitq09,cat3
頼む,非社交的な-社交的な,2,軽率な-慎重な,6,7,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,感じの悪い-感じの良い,1,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,感じの悪い-感じの良い,1,8,0,approachableness,traitq14,cat1
心配する,積極的な-消極的な,-1,感じの悪い-感じの良い,1,8,0,approachableness,traitq01,cat2
心配する,責任感のある-責任感のない,-2,感じの悪い-感じの良い,1,8,0,approachableness,traitq08,cat3
心配する,軽率な-慎重な,2,感じの悪い-感じの良い,1,8,0,approachableness,traitq09,cat3
心配する,非社交的な-社交的な,2,感じの悪い-感じの良い,1,8,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,心の広い-心の狭い,2,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,心の広い-心の狭い,2,8,0,approachableness,traitq14,cat1
心配する,積極的な-消極的な,-1,心の広い-心の狭い,2,8,0,approachableness,traitq01,cat2
心配する,責任感のある-責任感のない,-2,心の広い-心の狭い,2,8,0,approachableness,traitq08,cat3
心配する,軽率な-慎重な,2,心の広い-心の狭い,2,8,0,approachableness,traitq09,cat3
心配する,非社交的な-社交的な,2,心の広い-心の狭い,2,8,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,非社交的な-社交的な,3,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,非社交的な-社交的な,3,8,0,approachableness,traitq14,cat1
心配する,積極的な-消極的な,-1,非社交的な-社交的な,3,8,0,approachableness,traitq01,cat2
心配する,責任感のある-責任感のない,-2,非社交的な-社交的な,3,8,0,approachableness,traitq08,cat3
心配する,軽率な-慎重な,2,非社交的な-社交的な,3,8,0,approachableness,traitq09,cat3
心配する,非社交的な-社交的な,2,非社交的な-社交的な,3,8,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,積極的な-消極的な,4,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,積極的な-消極的な,4,8,0,approachableness,traitq14,cat1
心配する,積極的な-消極的な,-1,積極的な-消極的な,4,8,0,approachableness,traitq01,cat2
心配する,責任感のある-責任感のない,-2,積極的な-消極的な,4,8,0,approachableness,traitq08,cat3
心配する,軽率な-慎重な,2,積極的な-消極的な,4,8,0,approachableness,traitq09,cat3
心配する,非社交的な-社交的な,2,積極的な-消極的な,4,8,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,責任感のある-責任感のない,5,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,責任感のある-責任感のない,5,8,0,approachableness,traitq14,cat1
心配する,積極的な-消極的な,-1,責任感のある-責任感のない,5,8,0,approachableness,traitq01,cat2
心配する,責任感のある-責任感のない,-2,責任感のある-責任感のない,5,8,0,approachableness,traitq08,cat3
心配する,軽率な-慎重な,2,責任感のある-責任感のない,5,8,0,approachableness,traitq09,cat3
心配する,非社交的な-社交的な,2,責任感のある-責任感のない,5,8,0,approachableness,traitq07,cat2
心配する,心の広い-心の狭い,-2,軽率な-慎重な,6,8,0,approachableness,traitq06,cat1
心配する,感じの悪い-感じの良い,2,軽率な-慎重な,6,8,0,approachableness,traitq14,cat1
